source_kind,type,name,region,province,municipality,code,status,url,last_updated,enac_office,dossier,latitude,longitude,coordinates_text,public_detail_available,notes
avio_idro,field,Bellante,Abruzzo,Teramo (TE),Bellante,A172,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/abruzzo/bellante_A172,23/04/2025,Regioni Centro,5.1.8.1_2024_295,42.72394444,13.80804167,"42°43'26,20""N - 13°48'28,95""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,Celano,Abruzzo,Aquila,Celano,A041,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/abruzzo/celano_A041,21/10/2024,Regioni Centro,5.1.8.1_2024_202,42.05166944,13.55722778,"42°3'6,01""N - 13°33'26,02""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,L'Aquila,Abruzzo,L'Aquila,Poggio Picenze,A012,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/abruzzo/l-aquila_A012,07/05/2024,Regioni Centro,5.1.8.1_2024_95,42.30081111,13.51804167,"42°18'02,92""N - 13°31'04,95""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,La Porta delle Aquile,Abruzzo,Pescara,Alanno,A037,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/abruzzo/la-porta-delle-aquile_A037,26/08/2024,Regioni Centro,5.1.8.1_2024_238,42.31522778,14.00056389,"42°18'54,82""N - 14°0'2,03""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,Santa Maria a Vico - Vicum,ABRUZZO,TERAMO,SANT'OMERO,A131,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/abruzzo/santa-maria-a-vico-vicum_A131,12/06/2024,Regioni Centro,5.1.8.1_2024_225,42.80421389,13.79367778,"42°48'15,17""N - 13°47'37,24""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,Val Vibrata,Abruzzo,Teramo,Corropoli,A043,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/abruzzo/val-vibrata_A043,07/11/2024,Regioni Centro,5.1.8.1_2024_191,42.80985556,13.84697222,"42°48'35,48""N - 13°50'49,10""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,Falcone,BASILICATA,POTENZA,LAVELLO,A133,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/basilicata/falcone_A133,24/09/2024,Puglia Basilicata,5.1.8.2_2024_363,41.10477778,15.8761,"41°6'17,20""N - 15°52'33,96""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,Grumentum,BASILICATA,POTENZA,GRUMENTO NOVA,A035,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/basilicata/grumentum_A035,09/10/2024,Puglia Basilicata,5.1.8.2_2024_235,40.26972222,15.91277778,"40°16'11""N - 15°54'46""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,SibariFly,Calabria,Cosenza,Cassano allo ionio,A134,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/calabria/sibarifly_A134,02/10/2025,Calabria,5.1.8.1_2024_241,39.75799444,16.437025,"39°45'28,78""N - 16°26'13,29""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,AerialBanners Airfield,Campania,Salerno,Pontecagnano,A077,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/campania/aerialbanners-airfield_A077,08/05/2024,Campania,5.1.8.1_2024_262,40.64161667,14.88775,"40°38'29.82""N - 14°53'15.90""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,AirPatria,Campania,Napoli,Giugliano in Campania,A116,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/campania/airpatria_A116,02/08/2024,Campania,5.1.8.1_2024_190,40.92685,14.06225278,"40°55'36.66""N - 14°3'44.11""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
avio_idro,field,Carapiello,Campania,Caserta,SESSA Aurunca,A081,Aviosuperficie attiva. Dati Pubblicati,https://webaai.it/it/aviosuperfici-enac/campania/carapiello_A081,17/07/2024,Campania,5.1.8.1_2024_271,41.20123333,13.91624444,"41°12'4.44""N - 13°54'58.48""E",True,Additional map/contact/service/media/obstacle details require free WebAAI registration.
