name,code,type,lat,lon,dms,corridor_nm,in_15nm_corridor,access,fuel,phone,contact,ppr,hours,official_data,sources
"EDTM Mengen-Hohentengen","EDTM","airport","48.053000","9.373000","48°03'10.80""N 9°22'22.80""E","0.0","yes","guest","AVGAS 100LL, Jet A1, Super Plus","+49 07572 711047; +49 07572 769 601 0","+49 07572 711047; +49 07572 769 601 0; info@regio-airport-mengen.de","Sonderzeiten/Parken vorab klären","09:00 bis SS+30, max. 20:00 LT; Sonderzeiten auf Anfrage/OR","","https://www.regio-airport-mengen.de/piloteninfo/flugplatzdaten/"
"EDJA Memmingen / Allgäu Airport","EDJA","airport","47.988800","10.239500","47°59'19.68""N 10°14'22.20""E","24.5","no","ppr","AVGAS und Jet A1, AVGAS SB-Tankstelle nur mit Airport-Tankkarte/WFS","+49 8331 9725 315","+49 8331 9725 315; ops@edja.info","Fluganmeldung/GA via Ops","06:00-22:00 LT; 22:00-23:00 PPR","","https://www.memmingen-airport.de/fliegen/general-aviation/"
"EDTU Bad Saulgau","EDTU","airport","48.029446","9.507222","48°01'46.01""N 9°30'26.00""E","3.3","yes","ppr","nicht belegt","+49 7581 1610","+49 7581 1610; info@edtu.de","Online-PPR vor Nutzung; Hubschrauberklasse im Einzelfall bestätigen","Betriebszeiten laut Betreiber; außerhalb nur bestätigtes PPR","","https://edtu.de/"
"Flugplatz Wildberg","WILD","field","47.600000","9.741667","47°36'00.00""N 9°44'30.00""E","5.8","yes","ppr","kein Kraftstoff laut Betreiber","+49 8389 271","+49 8389 271; flugplatz.wildberg@t-online.de","mindestens 24 Stunden vorher per E-Mail","nur nach Betreiberbestätigung; 50 Stunden Pilotenerfahrung gefordert","","https://flugplatz-wildberg.de/piloten/"
"EDTP Pfullendorf","EDTP","airport","47.908890","9.250556","47°54'32.00""N 9°15'02.00""E","9.3","yes","ppr","AVGAS 100LL und MOGAS laut Betreiber","+49 7552 8670","+49 7552 8670","außerhalb veröffentlichter Zeiten über PPR-Formular","Apr-Okt Sa/So 09:00-20:00 oder SS, Mi 17:00-SS; sonst PPR","","https://fsv-pfullendorf.de/piloten/"
"EDNY Friedrichshafen","EDNY","airport","47.671299","9.511490","47°40'16.68""N 9°30'41.36""E","10.3","yes","ppr","AVGAS 100LL und Jet A1 laut Flughafen","+49 7541 284-120","+49 7541 284-120; Luftaufsicht@bodensee-airport.eu","Handling/Abstellung und Slot-/PPR-Lage vorab klären","aktuelle GA-Betriebszeiten auf Betreiberseite und in AIP/NOTAM prüfen","","https://www.bodensee-airport.eu/en/business-aviation/aviation/hours-of-operation/ | https://www.bodensee-airport.eu/business-aviation/aviation/fragen-antworten/"
"EDNL Leutkirch-Unterzeil","EDNL","airport","47.858891","10.014167","47°51'32.01""N 10°00'51.00""E","12.5","yes","ppr","nicht belegt","+49 7561 3156","+49 7561 3156","Betreiberkoordination; EU-Auslandsflüge mindestens 3 Stunden vorher anmelden","Betriebszeiten/PPR laut Betreiber und AIP prüfen","","https://www.ednl.de/piloten/"
"EDMB Biberach","EDMB","airport","48.112359","9.764013","48°06'44.49""N 9°45'50.45""E","14.4","yes","ppr","AVGAS 100LL, Jet A1 und Super Plus laut Betreiber","+49 7351 9734; +49 7351 168402; +49 173 3195223","+49 7351 9734; +49 7351 168402; +49 173 3195223","PPR/Flugleitung vorab telefonisch bestätigen","veröffentlichte Betriebszeiten; außerhalb PPR","","https://www.edmb.de/fur-piloten/allgemeines/"
"H LOIC Wucher St. Anton","H","helipad","47.119722","10.240556","47°07'11.00""N 10°14'26.00""E","8.7","yes","ppr","nicht belegt","+43 5446 2732; +43 5550 3880","+43 5446 2732; +43 5550 3880; helicopter@wucher.at","Betreiberfreigabe Wucher Helicopter zwingend","nur PPR; aktuelle AIP/NOTAM-Bedingungen prüfen","","https://eaip.austrocontrol.at/lo/260806/PART_3/AD_3/LO_AD_3_en.pdf | https://www.wucher-helicopter.at/"
"H LOJW Wucher Zürs-Lech","H","helipad","47.184167","10.157222","47°11'03.00""N 10°09'26.00""E","8.8","yes","ppr","nicht belegt","+43 5446 2732; +43 5550 3880","+43 5446 2732; +43 5550 3880; helicopter@wucher.at","Betreiberfreigabe Wucher Helicopter zwingend","nur PPR; Beleuchtung laut AIP nur für Rettungs-/Ambulanzflüge, Gastplanung daher Tagbetrieb","","https://eaip.austrocontrol.at/lo/260806/PART_3/AD_3/LO_AD_3_en.pdf | https://www.wucher-helicopter.at/"
